keyword,8/28/10,8/29/10,8/30/10,8/31/10,9/1/10,9/2/10,9/3/10,9/4/10,9/5/10,9/6/10,9/7/10,9/8/10,9/9/10,9/10/10,9/11/10,9/12/10,9/13/10
#basket,142,204,167,166,212,106,46,132,158,45,121,197,131,60,117,149,30
baloncesto,518,473,321,533,547,591,306,529,269,476,549,546,559,290,311,896,269
#baloncesto,46,72,53,77,71,62,54,27,4,14,21,36,105,83,54,96,22
basketball,5446,9887,9246,9149,9346,9464,7491,6892,7406,7256,9039,6330,10804,10060,8952,14749,5525
#basketball,229,335,285,283,318,235,137,183,129,193,218,158,244,151,329,429,140
Turkey2010,1,2,2,21,4,3,2,4,8,2,10,4,6,7,32,11,11
#Turkey2010,694,1158,1094,2218,2118,1687,148,518,1039,498,702,1534,654,145,8197,3958,86
FIBA2010,0,1,5,0,3,1,2,2,5,10,4,2,6,4,12,21,3
#FIBA2010,79,38,41,36,94,40,9,24,27,58,52,41,50,21,162,166,12
#ang,3,4,33,7,30,8,9,14,3,14,9,6,6,9,7,5,12
#arg,189,249,187,145,167,194,162,104,106,183,2954,303,276,194,200,169,86
#aus,12,33,113,64,101,88,81,135,65,88,589,44,15,35,42,29,32
#bra,73,159,386,140,170,203,134,106,83,84,761,61,88,76,84,143,45
#can,1,6,161,144,153,155,161,137,140,138,161,121,182,164,157,138,135
#chn,0,7,2,5,1,3,3,1,2,0,2,0,3,1,5,1,0
#civ,0,8,4,5,3,6,0,3,6,1,5,2,0,6,6,12,3
#cro,7,4,61,56,48,48,59,35,23,25,60,48,78,51,19,22,42
#esp,205,176,128,208,173,174,693,403,100,115,2134,208,80,105,81,142,41
#fra,73,48,42,60,32,59,125,46,71,34,149,25,62,34,30,36,101
#ger,95,107,53,36,96,51,551,74,89,74,625,85,85,47,48,47,34
#gre,3,36,13,68,19,26,31,176,10,8,26,8,12,15,14,14,4
#iri,1,4,84,72,50,72,78,90,101,109,118,38,120,118,102,133,86
#jor,0,6,6,24,24,25,10,7,7,17,5,6,28,27,16,4,2
#lib,1,1,85,31,45,32,47,11,8,42,23,16,33,16,7,10,9
#ltu,0,3,0,7,2,1,0,0,1,0,2,2,11,1,18,9,2
#nzl,0,35,1,2,4,11,2,0,0,0,1,1,1,2,2,2,1
#pur,2,10,1,13,15,9,5,9,13,3,3,0,2,5,3,7,2
#rus,3,8,21,7,10,18,28,6,7,16,37,7,42,25,17,6,9
#slo,0,9,16,4,26,10,20,11,11,6,13,28,9,9,9,2,2
#srb,6,34,5,2,6,9,11,20,6,1,7,12,10,3,196,21,2
#tun,1,6,6,6,3,3,2,1,3,3,1,1,2,0,2,0,0
#tur,1,9,5,36,17,12,21,12,41,6,46,101,12,12,89,73,2
#usa,140,385,612,411,455,328,247,228,218,379,296,264,561,453,765,736,227