Id,Label,Group,Num Links,Links_in,links_out,Timestamp
1,@fibaworld,top_mentions,434,403,31,1
2,@nba,top_mentions,85,49,36,2
3,@joejonas,top_mentions,5,5,0,13
4,@justinbieber,top_mentions,192,192,0,4
5,@usabasketball,top_mentions,76,75,1,1
6,@kingjames,top_mentions,72,72,0,1
7,@kdthunderup,top_mentions,4,4,0,3
9,@ozfinn,top_mentions,3,2,1,11
10,@2010misterchip,top_mentions,11,11,0,4
11,@breakingnews,top_mentions,2,2,0,9
12,@50cent,top_mentions,4,3,1,1
13,@reallamarodom,top_mentions,23,21,2,2
14,@officialgboi_,top_mentions,2,2,0,10
15,@khloekardashian,top_mentions,17,16,1,1
16,@cbb_basquete,top_mentions,8,3,5,2
17,@carmeloanthony,top_mentions,11,9,2,2
19,@lscola4,top_mentions,10,10,0,1
20,@lilduval,top_mentions,2,2,0,1
21,@rrdream,top_mentions,29,13,16,11
22,@fiba2010turkiye,top_mentions,36,33,3,4
23,@addthis,top_mentions,5,5,0,1
24,@chrisbrown,top_mentions,4,4,0,7
26,@greggdoyelcbs,top_mentions,3,3,0,9
27,@elizabethsibel,top_mentions,9,9,0,9
28,@marshaambrosius,top_mentions,1,0,1,10
29,@unbounce,top_mentions,4,1,3,5
30,@jeskeets,top_mentions,49,20,29,1
31,@follow_maria,top_mentions,8,8,0,15
32,@ardakutsal,top_mentions,2,2,0,15
33,@99designs,top_mentions,2,2,0,5
34,@trecet,top_mentions,1,1,0,13
35,@sinanguler,top_mentions,31,29,2,3
36,@ogochocinco,top_mentions,2,1,1,4
37,@adaimiel,top_mentions,2,1,1,8
38,@sportsguy33,top_mentions,5,3,2,14
40,@pelinalaca123,top_mentions,24,5,19,9
41,@bokinachbar,top_mentions,7,7,0,2
42,@the_real_shaq,top_mentions,1,1,0,1
43,@coachozyer,top_mentions,43,21,22,3
44,@dwadeofficial,top_mentions,1,1,0,8
46,@spainfansjustin,top_mentions,131,85,46,4
47,@handeyenerr,top_mentions,5,5,0,15
48,@twitturk,top_mentions,2,2,0,15
49,@lithuaniabasket,top_mentions,67,37,30,1
50,@bek_rt,top_mentions,14,6,8,14
51,@tribundergi,Normal_users,6,4,2,5
53,@petethamelnyt,Normal_users,17,11,6,1
54,@blkice3,Normal_users,4,3,1,8
55,@dare_2_follow,Normal_users,22,8,14,14
56,@reflexionfidel,Normal_users,4,4,0,17
57,@richarddeitsch,Normal_users,7,6,1,3
61,@desireejustinb,top_twitters,346,68,278,4
62,@algomaubball,Normal_users,2,1,1,8
63,@jaythewanted,Normal_users,5,3,2,2
64,@cenkakyol,Normal_users,4,3,1,10
65,@germanyff,Normal_users,11,11,0,11
66,@iilovemeduhh,Normal_users,13,8,5,9
67,@alanstein,Normal_users,11,3,8,2
70,@ioninteractive,Normal_users,11,4,7,5
71,@espn4d,Normal_users,3,1,2,13
72,@ludacris,Normal_users,6,6,0,9
73,@imjonassister,Normal_users,40,40,0,2
74,@espn,Normal_users,5,5,0,1
76,@sinanakciloffcl,Normal_users,6,4,2,4
78,@candace_parker,Normal_users,9,5,4,8
79,@omurgedik,Normal_users,4,2,2,15
80,@manuginobili,Normal_users,2,2,0,15
84,@qldyounglnp,Normal_users,5,5,0,7
85,@geeksrulz,Normal_users,17,4,13,3
86,@youtube,Normal_users,3,3,0,8
87,@rudygay22,Normal_users,7,4,3,3
88,@nurbieber,Normal_users,15,3,12,4
89,@gurul,Normal_users,5,2,3,15
91,@cdouglasroberts,Normal_users,2,1,1,6
92,@selincetin,Normal_users,10,4,6,15
93,@jlsaezfeb,Normal_users,6,4,2,8
94,@ashleyjeffreyjb,Normal_users,26,6,20,9
95,@amareisreal,Normal_users,6,4,2,7
96,@hoopshype,Normal_users,4,4,0,2
98,@vampyrse,top_twitters,28,21,7,2
99,@espn_collhoops,Normal_users,9,3,6,3
100,@the_real_nash,Normal_users,6,4,2,8
102,@evrembieber,Normal_users,12,3,9,15
103,@espnandykatz,Normal_users,4,3,1,5
104,@vzlaembassyus,Normal_users,2,2,0,17
106,@wnba,Normal_users,6,1,5,9
107,@stephencurry30,Normal_users,2,2,0,3
109,@brettmcmurphy,Normal_users,3,3,0,9
110,@jimmywa11,Normal_users,7,2,5,2
111,@iremkusoglu,Normal_users,13,7,6,12
112,@garyowencomedy,Normal_users,1,1,0,15
115,@lakers,Normal_users,4,4,0,4
116,@2ksports,Normal_users,8,4,4,7
117,@utkucakir,Normal_users,3,2,1,15
118,@presidentgee,Normal_users,1,1,0,8
122,@tim_ash,Normal_users,17,6,11,10
123,@tasmelas,Normal_users,30,12,18,4
125,@angelalessandra,Normal_users,2,2,0,3
129,@ai9,Normal_users,5,5,0,3
130,@kimkardashian,Normal_users,2,2,0,16
131,@chrislittmann,Normal_users,4,3,1,3
132,@bucks,Normal_users,20,10,10,3
133,@strongerteam,Normal_users,9,9,0,4
134,@mahmutcankovan,Normal_users,2,2,0,15
139,@hoopstar4lyfe,Normal_users,26,13,13,4
140,@davidmarca,Normal_users,4,2,2,12
141,@canuyanik,Normal_users,4,3,1,12
142,@axeloficial,Normal_users,4,0,4,5
143,@antonmeana,Normal_users,3,3,0,16
147,@tsevis,Normal_users,9,7,2,1
149,@nickjonas,Normal_users,1,1,0,5
150,@johnschuhmann,Normal_users,11,8,3,4
151,@insidehoops,Normal_users,2,2,0,4
156,@nbaturks,top_twitters,38,9,29,1
157,@melissaaggie98,Normal_users,51,17,34,2
162,@sirolopez,Normal_users,2,1,1,4
163,@recklesz_belle,Normal_users,2,1,1,16
166,@j_flynn,Normal_users,1,1,0,3
168,@germancartaya,Normal_users,4,3,1,2
169,@burki_rock,top_twitters,83,9,74,2
170,@breezecomfort,Normal_users,17,17,0,2
172,@andy_staples,Normal_users,3,0,3,5
174,@vamofalademacho,Normal_users,4,2,2,7
176,@shannonbrown,Normal_users,1,1,0,16
177,@joebudden,Normal_users,7,5,2,15
179,@dickiev,Normal_users,1,1,0,3
180,@scavendish,Normal_users,5,3,2,14
181,@russwest44,Normal_users,1,1,0,3
183,@danwolken,Normal_users,2,1,1,1
184,@syrertm,Normal_users,15,3,12,15
186,@laurencestlavie,Normal_users,7,4,3,3
188,@iamiceberg,Normal_users,7,4,3,3
189,@bomani_jones,Normal_users,3,2,1,4
191,@sexfameweezy,Normal_users,6,3,3,16
192,@rafeboogs,Normal_users,16,8,8,1
193,@jadande,Normal_users,1,1,0,11
194,@euro_adventures,Normal_users,20,11,9,2
196,@alpalkas,Normal_users,3,2,1,6
198,@ronartestcom,Normal_users,6,4,2,10
199,@lubnaaprillia,Normal_users,53,21,32,7
201,@kemaldogulu,Normal_users,7,5,2,15
206,@wesrucker,Normal_users,3,1,2,7
208,@rt,Normal_users,1,1,0,14
209,@revillaz,Normal_users,28,14,14,8
211,@mucahityilmaz,Normal_users,36,4,32,1
215,@em4r,Normal_users,5,2,3,12
216,@csheridanespn,Normal_users,5,5,0,9
218,@rockypadila,Normal_users,6,1,5,6
219,@porloschicos,Normal_users,2,1,1,14
220,@inthebleachers,Normal_users,3,0,3,6
221,@freedarko,Normal_users,8,5,3,5
222,@cabezadelfino,Normal_users,7,7,0,1
223,@barackobama,Normal_users,1,1,0,15
225,@trakedi,Normal_users,3,2,1,15
226,@raptors,Normal_users,1,0,1,4
228,@nate_robinson,Normal_users,2,1,1,4
229,@isthather,Normal_users,5,3,2,15
231,@goodmanonfox,Normal_users,4,4,0,6
232,@fifacom2010,Normal_users,4,4,0,7
234,@ajcsportseditor,Normal_users,1,1,0,3
236,@seattlestorm,Normal_users,4,4,0,9
237,@sanchezmarca,Normal_users,6,3,3,9
241,@garyparrishcbs,Normal_users,2,0,2,7
243,@draftexpress,Normal_users,2,1,1,4
244,@byuathletics,Normal_users,1,1,0,15
245,@thaythul,Normal_users,57,22,35,1
246,@souljaboy,Normal_users,1,1,0,11
248,@shekhaidemov,Normal_users,1,1,0,5
249,@rubyredrussian,Normal_users,25,7,18,5
251,@officiallyice,Normal_users,16,5,11,6
252,@nbaonespn,Normal_users,3,0,3,9
254,@lukabassin,Normal_users,14,6,8,4
255,@linkin_theorist,Normal_users,28,18,10,1
256,@joejonasfuture,Normal_users,2,0,2,13
257,@j_ipek_b,Normal_users,7,1,6,15
258,@gulcekiz,Normal_users,6,0,6,15
259,@cubadebate,Normal_users,1,0,1,17
261,@canereler,Normal_users,22,13,9,3
262,@ahuozyurt,Normal_users,1,1,0,6
264,@serdarito,top_twitters,36,15,21,1
265,@omurvarol,Normal_users,5,1,4,15
266,@mmaestracci,Normal_users,3,1,2,9
267,@jonesonthenba,Normal_users,9,3,6,1
269,@frayayah,Normal_users,21,21,0,1
271,@beebero,Normal_users,21,21,0,1
272,@abduzeedo,Normal_users,3,1,2,4
273,@therecruitscoop,Normal_users,3,1,2,1
274,@niggaimdaddy,Normal_users,8,4,4,12
275,@marcelodecasas,Normal_users,1,1,0,7
277,@geishatorres,Normal_users,3,2,1,7
278,@dtlal,Normal_users,25,18,7,1
281,@boiledsports,Normal_users,5,2,3,2
282,@shesmclovin,Normal_users,6,4,2,5
283,@salsabasket,Normal_users,8,4,4,4
287,@nyliberty,Normal_users,1,1,0,9
288,@nanimami,Normal_users,4,2,2,11
289,@michaelbyrnes,Normal_users,3,3,0,3
290,@maurice_creek3,Normal_users,1,0,1,11
291,@lovethekardash,Normal_users,5,1,4,8
293,@gangbadoy,Normal_users,1,0,1,15
297,@dheassqia,Normal_users,29,15,14,7
299,@cappa23,Normal_users,2,1,1,3
300,@austinrivers25,Normal_users,3,3,0,4
301,@usopen,Normal_users,2,2,0,11
302,@tiagosplitter,Normal_users,2,2,0,1
304,@s,Normal_users,1,1,0,2
305,@ryankellyct,Normal_users,1,0,1,5
307,@ronnyturiaf14,Normal_users,6,3,3,7
308,@rmcclanaghannba,Normal_users,1,1,0,10
309,@raysahramadhani,Normal_users,27,13,14,7
310,@nelly_mo,Normal_users,2,2,0,10
311,@mestremachado,Normal_users,1,1,0,6
312,@melikekzldogan,Normal_users,15,0,15,2
313,@killakay_,Normal_users,12,7,5,6
315,@jalenrose,Normal_users,4,0,4,7
317,@ihatekatstacks,Normal_users,1,0,1,8
318,@iconjane,Normal_users,2,0,2,15
319,@gbagaunmopol,Normal_users,1,0,1,3
321,@espn3,Normal_users,1,1,0,15
323,@conversionconf,Normal_users,9,6,3,12
325,@bfeldmanespn,Normal_users,3,1,2,1
326,@balliever,Normal_users,1,0,1,2
328,@althychal,Normal_users,18,18,0,1
331,@vanbreezyy,Normal_users,4,4,0,8
332,@tuncozgorener,Normal_users,15,8,7,4
334,@sporstudyosu,Normal_users,1,1,0,4
335,@septianiriski,Normal_users,34,17,17,4
336,@raditttt,Normal_users,34,17,17,4
337,@puertoricopur,Normal_users,10,3,7,2
338,@patty_mills,Normal_users,1,1,0,3
340,@mikestuchbery,Normal_users,1,1,0,11
341,@maliano,Normal_users,11,9,2,3
342,@lusagad,Normal_users,20,7,13,2
343,@kontamonsta,Normal_users,12,4,8,1
345,@ihoopstweets,Normal_users,2,2,0,9
347,@houstonrockets,Normal_users,2,0,2,11
350,@george_hill3,Normal_users,2,1,1,13
351,@dgranger33,Normal_users,3,3,0,4
352,@dgoneil1,Normal_users,5,3,2,3
355,@darlynnb,Normal_users,6,3,3,3
356,@curropar,Normal_users,10,2,8,3
357,@aussieboomers,Normal_users,1,1,0,16
358,@as_inako,Normal_users,1,1,0,5
359,@_cube_,Normal_users,9,5,4,5
361,@wildcats,Normal_users,2,1,1,4
362,@vientoarg,Normal_users,10,5,5,5
365,@rickey57,Normal_users,31,5,26,3
367,@nuathletics,Normal_users,1,1,0,3
370,@mepongodepie,Normal_users,16,11,5,4
371,@mainbasket,Normal_users,7,1,6,1
373,@josh_ward,Normal_users,1,0,1,15
374,@jokersoserious,Normal_users,8,6,2,3
375,@jhokanson,Normal_users,3,3,0,1
376,@its_ton,Normal_users,14,11,3,8
380,@fnur,Normal_users,2,1,1,3
382,@delly707,Normal_users,14,7,7,13
383,@d1scourse,Normal_users,4,2,2,6
386,@allieincredible,Normal_users,2,1,1,15
387,@ajkaliboy2,Normal_users,11,5,6,3
388,@7vueltas,Normal_users,3,1,2,5
389,@williamdsaputra,Normal_users,8,4,4,6
390,@t_newschronicle,Normal_users,26,13,13,2
392,@saostiram,Normal_users,37,13,24,7
395,@pedrerol,Normal_users,2,2,0,9
396,@orangetangel,Normal_users,1,0,1,7
398,@ncaafanhouse,Normal_users,1,1,0,15
399,@mrgoodshot,Normal_users,1,1,0,16
400,@maldinisport,Normal_users,1,1,0,13
401,@ltumarty,Normal_users,9,9,0,4
405,@itsillmatic,Normal_users,3,1,2,15
406,@ipeksubiebz,Normal_users,5,5,0,15
407,@imilly21,Normal_users,4,2,2,16
409,@guillenfran,Normal_users,3,2,1,5
410,@greenday,Normal_users,5,5,0,11
411,@gitti_,Normal_users,30,11,19,1
413,@franciscovega,Normal_users,2,1,1,10
414,@fgeerdink,Normal_users,1,1,0,15
415,@famclik,Normal_users,1,1,0,12
416,@dimemag,Normal_users,4,1,3,4
417,@crashoverride_,top_twitters,16,0,16,4
418,@bieber_turkey,Normal_users,7,4,3,9
419,@asternwarning,Normal_users,19,2,17,1
421,@10musica,Normal_users,23,6,17,11
423,@westsidebg,Normal_users,2,2,0,14
425,@slimthugga,Normal_users,3,1,2,12
426,@skydigg4,Normal_users,3,1,2,11
428,@rock_n_doll,Normal_users,6,6,0,3
429,@phoenixmercury,Normal_users,2,2,0,9
430,@ozany,Normal_users,9,0,9,3
431,@orvex,Normal_users,7,5,2,5
433,@nerdatcooltable,Normal_users,3,2,1,2
435,@muathletics,Normal_users,3,2,1,4
436,@mfirataydin,Normal_users,13,3,10,1
438,@lhyozil_klose11,Normal_users,21,10,11,13
439,@kumpanyatv,Normal_users,1,0,1,15
440,@killahbon3s,Normal_users,7,3,4,4
441,@kaankural,Normal_users,7,7,0,3
443,@jflow41,Normal_users,4,2,2,7
444,@jerseychaser54,Normal_users,4,2,2,4
449,@greivisvasquez,Normal_users,1,1,0,11
450,@garudaflexi,Normal_users,30,2,28,16
452,@eyluleva,top_twitters,36,5,31,4
453,@estebanpagan,Normal_users,3,0,3,5
454,@elif_jbieber,Normal_users,15,1,14,15
455,@dibrary1004,Normal_users,1,1,0,6
456,@claytravisbgid,Normal_users,1,0,1,7
457,@claraiueo,Normal_users,11,6,5,14
458,@chrisbosh,Normal_users,3,0,3,15
459,@canbball,Normal_users,3,3,0,2
463,@bajamusica,Normal_users,6,6,0,12
465,@abscbnnewssport,Normal_users,3,3,0,10
466,@zeynepcetin,Normal_users,12,4,8,9
467,@yhdodream,Normal_users,10,2,8,7
472,@therevofmge,Normal_users,4,2,2,4
473,@stephenasmith,Normal_users,1,1,0,13
474,@stackmack,Normal_users,9,2,7,3
476,@s_segurola,Normal_users,2,1,1,14
478,@robkardashian,Normal_users,1,1,0,13
480,@preston76,Normal_users,6,1,5,5
482,@mustafakotan,Normal_users,3,3,0,15
483,@mundodeportivo,Normal_users,10,4,6,10
486,@meridianotv,Normal_users,3,3,0,7
488,@jose3030,Normal_users,3,0,3,15
489,@jonasbrotherstr,Normal_users,2,0,2,13
491,@halifaxrainmen,Normal_users,10,2,8,1
496,@elnuevodia,Normal_users,2,1,1,5
497,@dragonflyjonez,Normal_users,6,3,3,4
500,@chelly_davilla7,Normal_users,11,6,5,11
501,@cargun,Normal_users,6,3,3,5
502,@buduoriginal,Normal_users,3,2,1,11
503,@birkanbatuk,Normal_users,2,2,0,15
505,@basketballbuzz,Normal_users,13,3,10,1
506,@basketball_bild,Normal_users,3,3,0,2
507,@antigonoulalp,Normal_users,33,8,25,1
508,@aciyokrocky,Normal_users,8,4,4,15
514,@ssergioh,Normal_users,1,1,0,5
515,@sninsider,Normal_users,3,3,0,6
516,@serenawilliams,Normal_users,2,2,0,12
519,@scoopdez30,Normal_users,4,3,1,9
521,@roscoedash,Normal_users,2,2,0,10
522,@realjaywilliams,Normal_users,3,2,1,1
523,@raphiellej,Normal_users,5,0,5,1
524,@pacogcaridad,Normal_users,3,2,1,10
527,@nsane11,Normal_users,4,0,4,2
528,@naominiles,Normal_users,2,0,2,4
529,@nadialerman,Normal_users,26,7,19,8
532,@milosdjajic,Normal_users,6,2,4,15
533,@mfowen91,Normal_users,1,1,0,7
534,@melfernando20,Normal_users,7,2,5,2
537,@m__rafif,Normal_users,22,10,12,11
541,@lacn,Normal_users,4,3,1,1
543,@kvasniova,Normal_users,3,2,1,2
546,@jgreene20,Normal_users,4,4,0,14
547,@jetaimenick,Normal_users,48,5,43,4
550,@insidethehall,Normal_users,3,2,1,3
551,@highmajor1,Normal_users,3,0,3,6
552,@herbertfromfg,Normal_users,1,0,1,11
553,@gpway,Normal_users,2,0,2,1
556,@gabyee,Normal_users,7,3,4,6
558,@eniac,Normal_users,3,3,0,15
562,@coachfinamore,Normal_users,3,0,3,3
563,@coachdanefife,Normal_users,1,1,0,14
565,@cagridemirsen,Normal_users,2,1,1,9
566,@burak,Normal_users,2,1,1,15
568,@blunted215,Normal_users,1,1,0,6
569,@blairjordans,Normal_users,2,1,1,12
574,@andystalman,Normal_users,2,1,1,15
575,@amy_twx,Normal_users,3,1,2,2
576,@al_primertoque,Normal_users,12,6,6,5
577,@abscbnnews,Normal_users,3,0,3,10
578,@aaronharris12,Normal_users,16,8,8,1
579,@a2dao,Normal_users,2,1,1,16
580,@_emmaella_,Normal_users,24,11,13,9
581,@1x1sports,Normal_users,2,1,1,7
582,@womworldnokia,Normal_users,2,2,0,4
583,@willthethrillb5,Normal_users,4,2,2,4
584,@veehutch,Normal_users,3,2,1,8
585,@twittyyanne,Normal_users,1,0,1,1
586,@tsnmike,Normal_users,3,0,3,3
588,@teamcarmelo15,Normal_users,10,1,9,2
589,@tcal1420,Normal_users,4,2,2,16
590,@tarheelwire,Normal_users,1,1,0,13
591,@slmandel,Normal_users,1,1,0,6
592,@skiinniemiinnie,Normal_users,3,2,1,16
594,@sincerely_nell,Normal_users,1,1,0,10
595,@simplylucylu,Normal_users,4,2,2,3
596,@sikimdentwitler,Normal_users,4,2,2,15
597,@selenajustsmile,Normal_users,9,5,4,4
598,@rafaelbello,Normal_users,4,2,2,11
602,@osulighty23,Normal_users,7,3,4,6
604,@nabilarrrr,Normal_users,20,7,13,3
605,@nabilahannisa,Normal_users,15,8,7,7
606,@n3rmn,Normal_users,6,3,3,15
607,@mobucketz,Normal_users,9,3,6,5
609,@mgrif32,Normal_users,1,0,1,6
610,@mervetufaner,Normal_users,9,0,9,15
612,@llcoolkidd,Normal_users,1,0,1,9
613,@ligadevenezuela,Normal_users,8,2,6,6
614,@laraskamila,Normal_users,16,8,8,3
615,@karinadlove,Normal_users,20,11,9,13
616,@juliagillard,Normal_users,1,1,0,3
621,@ismailsenol,Normal_users,10,7,3,3
622,@inaimathi,Normal_users,6,6,0,11
623,@ibethyyu,Normal_users,14,10,4,7
624,@hongss,Normal_users,6,4,2,7
625,@hollywuddivorce,Normal_users,2,1,1,10
626,@gladyssoo,Normal_users,19,11,8,9
627,@germanpaoloski,Normal_users,1,1,0,11
628,@erinandrews,Normal_users,1,1,0,4
630,@dlproduction,Normal_users,15,3,12,10
631,@danmike1,Normal_users,1,0,1,17
633,@clfkorea,Normal_users,4,2,2,6
634,@chris_loves_la,Normal_users,2,0,2,4
635,@cescindofan,Normal_users,3,1,2,6
636,@cesc4official,Normal_users,1,1,0,6
637,@brooksbell,Normal_users,7,5,2,12
638,@brandyisabamf,Normal_users,19,4,15,8
639,@blahitsjasmine,Normal_users,8,4,4,15
643,@arkanoid13,Normal_users,11,5,6,3
646,@ajc,Normal_users,1,0,1,3
647,@airjordyn_,Normal_users,16,5,11,1
648,@abusnel,Normal_users,3,0,3,8
651,@wojyahoonba,Normal_users,4,2,2,2
653,@virtualtotte,Normal_users,3,1,2,9
654,@varrez,Normal_users,67,10,57,1
656,@umitozmen,Normal_users,8,2,6,6
662,@schoenendunk,Normal_users,1,1,0,1
665,@rikiflo,Normal_users,1,0,1,16
666,@richboomporter,Normal_users,1,1,0,2
667,@qbkilla,Normal_users,1,1,0,4
669,@peter_r_casey,Normal_users,5,1,4,2
670,@pengovsky,Normal_users,4,3,1,5
671,@paulbyrom,Normal_users,1,1,0,5
673,@netw3rk,Normal_users,9,3,6,4
674,@nbadraftinsider,Normal_users,3,3,0,10
677,@miibasyar,Normal_users,18,10,8,11
678,@memetjamet,Normal_users,4,2,2,17
679,@melbournebuzz,Normal_users,5,1,4,3
680,@martinreyes14,Normal_users,1,1,0,16
681,@marcacom,Normal_users,3,0,3,14
682,@luoldeng9,Normal_users,1,1,0,6
684,@lia_chip_chip,Normal_users,8,4,4,8
685,@lastinactiveman,Normal_users,2,1,1,8
687,@kevin_rudds_cat,Normal_users,2,1,1,5
692,@jasmineloew,Normal_users,7,7,0,3
694,@ifeeldzy,Normal_users,2,1,1,2
695,@hokieguru,Normal_users,1,1,0,6
696,@geoffproud,Normal_users,4,2,2,12
697,@ganchetto,Normal_users,3,1,2,8
700,@firstladyeve,Normal_users,2,1,1,17
701,@fiba,Normal_users,1,1,0,15
702,@ernestodelvalle,Normal_users,4,2,2,17
703,@eric__smith,Normal_users,1,0,1,8
707,@eil82,Normal_users,16,7,9,4
709,@dcdebbie,Normal_users,6,2,4,8
710,@danielkelly9,Normal_users,1,0,1,8
712,@d_rosefans,Normal_users,14,1,13,2
714,@conversion_doc,Normal_users,2,1,1,3
717,@canballreport,Normal_users,3,0,3,7
719,@brigunn,Normal_users,8,4,4,3
720,@briancmahoney,Normal_users,6,2,4,2
721,@boxdenfresh,Normal_users,5,5,0,14
722,@bizarreavenir,Normal_users,14,7,7,9
723,@barbeenicole,Normal_users,1,1,0,2
724,@atlantadream,Normal_users,1,1,0,9
726,@allstarweekend,Normal_users,1,1,0,3
727,@allan_houston,Normal_users,2,1,1,16
730,@aarbeloa17,Normal_users,1,1,0,5
731,@zeljkomatic,Normal_users,19,0,19,1
732,@yukafellicia,Normal_users,14,9,5,7
734,@yahoo,Normal_users,1,1,0,4
738,@vh1info,Normal_users,6,3,3,8
739,@v_emman,Normal_users,4,1,3,6
740,@umhoops,Normal_users,3,0,3,3
743,@twinsselen,Normal_users,6,0,6,12
744,@turkeysforlife,Normal_users,2,1,1,16
747,@thewizardozlm,Normal_users,19,8,11,9
750,@swiperboy,Normal_users,2,1,1,2
