Word,8/28/10,8/29/10,8/30/10,8/31/10,9/1/10,9/2/10,9/3/10,9/4/10,9/5/10,9/6/10,9/7/10,9/8/10,9/9/10,9/10/10,9/11/10,9/12/10,9/13/10
basketball,2237,4278,4058,4288,4250,4531,3484,3194,3486,3378,4530,3127,5854,5361,4338,6684,2675
love,731,1173,319,502,359,301,255,257,240,308,361,233,412,380,350,512,210
play,167,426,456,503,463,463,365,349,366,409,366,309,360,448,438,446,190
football,48,159,172,191,165,255,237,239,259,180,327,146,188,433,368,881,176
game,177,260,219,257,221,261,214,182,289,159,186,106,206,155,313,445,140
hope,68,158,171,194,184,173,175,167,157,216,214,184,274,212,214,202,93
time,75,88,88,86,82,78,62,121,80,77,77,68,963,580,192,184,63
playing,113,181,198,199,220,173,156,130,134,160,177,140,243,155,169,248,91
team,80,129,201,151,166,169,119,158,119,132,141,131,180,123,192,395,135
season,28,73,114,115,81,107,120,168,141,91,124,100,185,272,158,392,94
good,75,149,166,168,151,174,111,98,115,118,154,108,130,135,142,239,82
world,97,107,120,104,90,92,43,26,78,78,101,40,77,39,146,805,119
lol,82,144,140,128,120,115,117,112,123,106,142,121,133,145,120,209,65
watch,108,151,95,104,97,87,79,72,134,85,99,51,129,168,150,392,81
wait,42,54,111,110,82,102,84,82,129,81,110,92,143,221,122,276,83
baloncesto,141,106,66,105,110,164,81,114,77,92,148,133,112,97,79,193,60
played,49,80,126,115,109,185,112,90,99,91,97,75,91,93,102,108,59
lunch,1,2,7,1,3,5,6,1,3,3,1,2,878,498,92,30,9
college,20,39,56,66,72,98,101,111,86,76,146,85,91,133,140,140,59
watching,82,164,91,73,79,75,31,60,51,58,68,31,85,47,113,255,30
shorts,41,83,177,93,105,113,85,60,67,64,82,55,100,84,72,49,35
wanna,40,123,95,90,89,77,57,58,59,94,57,59,109,85,100,101,41
players,24,73,66,94,68,70,93,119,50,67,103,69,75,88,54,130,51
day,31,73,76,51,74,67,54,44,81,59,92,43,100,46,96,240,42
beats,78,222,81,56,76,106,18,93,12,15,53,16,35,8,20,315,23
cheat,32,62,60,76,55,73,68,73,53,86,86,78,121,76,98,66,37
cheats,24,54,59,77,76,65,58,70,69,90,74,72,102,102,59,69,32
great,28,63,58,77,67,60,47,58,48,39,76,39,74,54,112,205,30
player,12,68,69,78,89,89,55,63,44,55,75,55,122,61,58,92,44
beat,27,83,53,74,146,112,52,42,114,58,42,45,73,52,52,53,43
school,28,43,107,111,86,59,67,37,33,48,88,65,83,65,63,60,52
final,10,27,10,53,26,33,18,28,22,9,70,105,30,27,342,265,19
baseball,18,25,45,57,40,49,144,113,147,25,89,33,36,68,72,113,15
win,40,56,72,83,54,79,79,36,23,36,49,113,60,35,59,159,44
dont,25,68,47,63,51,56,63,66,44,59,78,48,62,75,63,111,46
gonna,38,75,57,73,52,58,48,57,60,55,54,46,58,58,74,120,31
coach,18,45,105,60,98,79,71,30,21,27,41,57,97,90,77,69,26
ready,31,52,50,48,46,44,51,58,65,51,62,36,73,89,62,138,40
points,46,98,49,52,98,41,11,44,18,10,104,11,30,13,260,81,14
games,37,66,67,75,53,66,70,55,41,29,56,38,64,61,65,109,24
start,22,61,63,68,40,60,48,59,40,43,69,39,81,78,55,98,32
today,30,73,44,57,99,57,37,40,43,92,42,32,65,48,71,76,25
hate,27,48,45,66,45,49,52,52,31,32,52,31,62,108,47,137,28
wit,32,51,52,60,51,58,36,55,48,58,62,30,60,58,66,68,26
haha,25,52,50,60,65,44,40,36,36,39,117,31,58,44,41,90,37
feel,22,52,48,70,67,54,37,37,44,54,58,35,55,51,55,69,35
worlds,73,243,111,53,69,95,74,16,3,24,9,3,32,3,1,23,4
year,15,25,51,65,52,40,36,43,33,42,57,52,58,63,70,53,28
high,11,34,102,71,39,46,74,61,17,35,31,36,49,46,43,43,28
sports,20,55,35,44,37,28,19,55,43,38,51,34,43,72,61,108,22